WY 2004,MLW Daily Avg, MLW Ft above Crest, MLW Ft above/below Flood,CLW Daily Avg, CLW Ft above Crest, CLW Ft above/below Flood,TIS Daily Avg, TIS Ft above Crest, TIS Ft above/below Flood,FRE Daily Avg, FRE Ft above Crest, FRE Ft above/below Flood
9/30/2004,,,,61.43,,,45.14,,,15.85,,
9/29/2004,,,,61.43,,,45.14,,,15.95,,
9/28/2004,,,,61.43,,,45.14,,,16.06,,
9/27/2004,,,,61.43,,,45.14,,,16.2,,
9/26/2004,,,,61.43,,,45.14,,,16.32,,
9/25/2004,,,,61.43,,,45.14,,,16.43,,
9/24/2004,,,,61.43,,,45.14,,,16.54,,
9/23/2004,,,,61.43,,,45.14,,,16.65,,
9/22/2004,,,,61.43,,,45.14,,,16.71,,
9/21/2004,,,,61.43,,,45.14,,,16.71,,
9/20/2004,,,,61.43,,,45.14,,,16.75,,
9/19/2004,,,,61.43,,,45.14,,,16.84,,
9/18/2004,,,,61.43,,,45.14,,,16.89,,
9/17/2004,,,,61.43,,,45.14,,,16.94,,
9/16/2004,,,,61.43,,,45.14,,,17.05,,
9/15/2004,,,,61.43,,,45.14,,,17.15,,
9/14/2004,,,,61.43,,,45.14,,,17.18,,
9/13/2004,,,,61.43,,,45.14,,,17.23,,
9/12/2004,,,,61.43,,,45.14,,,17.28,,
9/11/2004,,,,61.43,,,45.14,,,17.26,,
9/10/2004,,,,61.43,,,45.14,,,17.28,,
9/9/2004,,,,61.43,,,45.14,,,17.36,,
9/8/2004,,,,61.43,,,45.14,,,17.29,,
9/7/2004,,,,61.43,,,45.14,,,17.23,,
9/6/2004,,,,61.43,,,45.14,,,17.26,,
9/5/2004,,,,61.43,,,45.14,,,17.29,,
9/4/2004,,,,61.43,,,45.14,,,17.33,,
9/3/2004,,,,61.43,,,45.14,,,17.41,,
9/2/2004,,,,61.43,,,45.14,,,17.37,,
9/1/2004,,,,61.43,,,45.14,,,17.38,,
8/31/2004,,,,61.43,,,45.14,,,17.5,,
8/30/2004,,,,61.43,,,45.14,,,17.65,,
8/29/2004,,,,61.43,,,45.14,,,17.76,,
8/28/2004,,,,61.43,,,45.14,,,17.82,,
8/27/2004,,,,61.43,,,45.14,,,17.91,,
8/26/2004,,,,61.43,,,45.14,,,18,,
8/25/2004,,,,61.43,,,45.14,,,17.96,,
8/24/2004,,,,61.43,,,45.14,,,17.8,,
8/23/2004,,,,61.43,,,45.14,,,17.53,,
8/22/2004,,,,61.43,,,45.14,,,17.5,,
8/21/2004,,,,61.43,,,45.14,,,17.53,,
