WY 2017,MLW Daily Avg, MLW Ft above Crest, MLW Ft above/below Flood,CLW Daily Avg, CLW Ft above Crest, CLW Ft above/below Flood,TIS Daily Avg, TIS Ft above Crest, TIS Ft above/below Flood,FRE Daily Avg, FRE Ft above Crest, FRE Ft above/below Flood
9/30/2017,,,,,,,,,,17.32,,
9/29/2017,,,,,,,,,,17.39,,
9/28/2017,,,,,,,,,,17.44,,
9/27/2017,,,,,,,,,,17.43,,
9/26/2017,,,,,,,,,,17.46,,
9/25/2017,,,,,,,,,,17.47,,
9/24/2017,,,,,,,,,,17.49,,
9/23/2017,,,,,,,,,,17.65,,
9/22/2017,,,,,,,,,,17.73,,
9/21/2017,,,,,,,,,,17.78,,
9/20/2017,,,,,,,,,,17.85,,
9/19/2017,,,,,,,,,,17.88,,
9/18/2017,,,,,,,,,,17.93,,
9/17/2017,,,,,,,,,,18,,
9/16/2017,,,,,,,,,,18.03,,
9/15/2017,,,,,,,,,,18.1,,
9/14/2017,,,,,,,,,,18.18,,
9/13/2017,,,,,,,,,,18.17,,
9/12/2017,,,,,,,,,,18.16,,
9/11/2017,,,,,,,,,,18.3,,
9/10/2017,,,,,,,,,,18.35,,
9/9/2017,,,,,,,,,,18.15,,
9/8/2017,,,,,,,,,,17.93,,
9/7/2017,,,,,,,,,,17.9,,
9/6/2017,,,,,,,,,,17.84,,
9/5/2017,,,,,,,,,,17.67,,
9/4/2017,,,,,,,,,,17.56,,
9/3/2017,,,,,,,,,,17.45,,
9/2/2017,,,,,,,,,,17.29,,
9/1/2017,,,,,,,,,,17.33,,
8/31/2017,,,,,,,,,,17.59,,
8/30/2017,,,,,,,,,,17.72,,
8/29/2017,,,,,,,,,,17.7,,
8/28/2017,,,,,,,,,,17.77,,
8/27/2017,,,,,,,,,,17.95,,
8/26/2017,,,,,,,,,,17.91,,
8/25/2017,,,,,,,,,,17.72,,
8/24/2017,,,,,,,,,,17.56,,
8/23/2017,,,,,,,,,,17.43,,
8/22/2017,,,,,,,,,,17.33,,
8/21/2017,,,,,,,,,,17.36,,
8/20/2017,,,,,,,,,,17.33,,
8/19/2017,,,,,,,,,,17.24,,
8/18/2017,,,,,,,,,,17.17,,
8/17/2017,,,,,,,,,,16.99,,
8/16/2017,,,,,,,,,,16.93,,
8/15/2017,,,,,,,,,,16.84,,
8/14/2017,,,,,,,,,,16.76,,
8/13/2017,,,,,,,,,,16.66,,
8/12/2017,,,,,,,,,,16.54,,
8/11/2017,,,,,,,,,,16.5,,
8/10/2017,,,,,,,,,,16.54,,
8/9/2017,,,,,,,,,,16.43,,
8/8/2017,,,,,,,,,,16.34,,
8/7/2017,,,,,,,,,,16.26,,
8/6/2017,,,,,,,,,,16.27,,
8/5/2017,,,,,,,,,,16.13,,
8/4/2017,,,,,,,,,,16.29,,
8/3/2017,,,,,,,,,,16.31,,
8/2/2017,,,,,,,,,,16.24,,
8/1/2017,,,,,,,,,,16.24,,
7/31/2017,,,,,,,,,,16.15,,
7/30/2017,,,,,,,,,,16.18,,
7/29/2017,,,,,,,,,,16.17,,
7/28/2017,,,,,,,,,,15.96,,
7/27/2017,,,,,,,,,,15.67,,
7/26/2017,,,,,,,,,,15.62,,
7/25/2017,,,,,,,,,,15.58,,
7/24/2017,,,,,,,,,,15.39,,
7/23/2017,,,,,,,,,,15.12,,
7/22/2017,,,,,,,,,,15.07,,
7/21/2017,,,,,,,,,,14.96,,
7/20/2017,,,,,,,,,,14.79,,
7/19/2017,,,,,,,,,,14.85,,
7/18/2017,,,,,,,,,,14.84,,
7/17/2017,,,,,,,,,,14.78,,
7/16/2017,,,,,,,,,,14.69,,
7/15/2017,,,,,,,,,,14.52,,
7/14/2017,,,,,,,,,,14.19,,
7/13/2017,,,,,,,,,,13.89,,
7/12/2017,,,,,,,,,,13.79,,
7/11/2017,,,,,,,,,,13.82,,
7/10/2017,,,,,,,,,,13.83,,
7/9/2017,,,,,,,,,,13.77,,
7/8/2017,,,,,,,,,,13.85,,
7/7/2017,,,,,,,,,,13.85,,
7/6/2017,,,,,,,,,,13.91,,
7/5/2017,,,,,,,,,,13.96,,
7/4/2017,,,,,,,,,,13.92,,
7/3/2017,,,,,,,,,,13.97,,
7/2/2017,,,,,,,,,,14.02,,
7/1/2017,,,,,,,,,,14.22,,
6/30/2017,,,,,,,,,,14.27,,
6/29/2017,,,,,,,,,,14.49,,
6/28/2017,,,,,,,,,,14.78,,
6/27/2017,,,,,,,,,,14.85,,
6/26/2017,,,,,,,,,,14.93,,
6/25/2017,,,,,,,,,,15.13,,
6/24/2017,,,,,,,,,,15.4,,
6/23/2017,,,,,,,,,,15.72,,
6/22/2017,,,,,,,,,,15.88,,
6/21/2017,,,,,,,,,,15.82,,
6/20/2017,,,,,,,,,,15.8,,
6/19/2017,,,,,,,,,,15.9,,
6/18/2017,,,,,,,,,,16.11,,
6/17/2017,,,,,,,,,,16.48,,
6/16/2017,,,,,,,,,,17.24,,
6/15/2017,,,,,,,,,,18.04,,
6/14/2017,,,,,,,,,,18.67,,
6/13/2017,,,,,,,,,,19.35,,
6/12/2017,,,,,,,,,,19.85,,
6/11/2017,,,,,,,,,,20.41,,
6/10/2017,,,,,,,,,,21.09,,
6/9/2017,,,,,,,,,,21.49,,
6/8/2017,,,,,,,,,,21.89,,
6/7/2017,,,,,,,,,,22.37,,
6/6/2017,,,,,,,,,,22.65,,
6/5/2017,,,,,,,,,,22.67,,
6/4/2017,,,,,,,,,,22.62,,
6/3/2017,,,,,,,,,,22.47,,
6/2/2017,,,,,,,,,,22.55,,
6/1/2017,,,,,,,,,,22.54,,
5/31/2017,,,,,,,,,,22.44,,
5/30/2017,,,,,,,,,,22.23,,
5/29/2017,,,,,,,,,,22.11,,
5/28/2017,,,,,,,,,,22.07,,
5/27/2017,,,,,,,,,,22.5,,
5/26/2017,,,,,,,,,,22.76,,
5/25/2017,,,,,,,,,,22.73,,
5/24/2017,,,,,,,,,,22.76,,
5/23/2017,,,,,,,,,,23.07,,
5/22/2017,,,,,,,,,,23.3,,
5/21/2017,,,,,,,,,,23.81,,
5/20/2017,,,,,,,,,,25.27,,
5/19/2017,,,,,,,,,,26.29,,
5/18/2017,,,,,,,,,,26.92,,
5/17/2017,,,,,,,,,,27.76,,
5/16/2017,,,,,,,,,,28.64,,
5/15/2017,,,,,,,,,,29.02,,
5/14/2017,,,,,,,,,,28.98,,
5/13/2017,,,,,,,,,,28.56,,
5/12/2017,,,,,,,,,,27.48,,
5/11/2017,,,,,,,,,,25.38,,
5/10/2017,,,,,,,,,,23.67,,
5/9/2017,,,,,,,,,,23.47,,
5/8/2017,,,,,,,,,,24.22,,
5/7/2017,,,,,,,,,,25.72,,
5/6/2017,,,,,,,,,,26.93,,
5/5/2017,,,,,,,,,,28.32,,
5/4/2017,,,,,,,,,,29.92,,
5/3/2017,,,,,,,,,,31.65,,
5/2/2017,,,,,,,45.15,,,32.91,0.91,-6.59
5/1/2017,,,,,,,45.82,0.32,-7.18,33.23,1.23,-6.27
4/30/2017,,,,,,,46.47,0.97,-6.53,33.44,1.44,-6.06
4/29/2017,,,,,,,46.99,1.49,-6.01,33.61,1.61,-5.89
4/28/2017,,,,61.51,,,47.47,1.97,-5.53,33.67,1.67,-5.83
4/27/2017,,,,62.43,0.63,-8.57,47.86,2.36,-5.14,33.67,1.67,-5.83
4/26/2017,,,,63.82,2.02,-7.18,48.12,2.62,-4.88,33.69,1.69,-5.81
4/25/2017,,,,64,2.2,-7,48.13,2.63,-4.87,33.71,1.71,-5.79
4/24/2017,,,,64.06,2.26,-6.94,48.16,2.66,-4.84,33.72,1.72,-5.78
4/23/2017,,,,64.25,2.45,-6.75,48.2,2.7,-4.8,33.74,1.74,-5.76
4/22/2017,,,,64.43,2.63,-6.57,48.23,2.73,-4.77,33.77,1.77,-5.73
4/21/2017,,,,64.35,2.54,-6.66,48.19,2.69,-4.81,33.8,1.8,-5.7
4/20/2017,,,,63.98,2.18,-7.02,48.12,2.62,-4.89,33.76,1.76,-5.74
4/19/2017,,,,63.45,1.65,-7.55,48.03,2.53,-4.97,33.65,1.65,-5.85
4/18/2017,,,,63.35,1.55,-7.65,48.01,2.51,-4.99,33.54,1.54,-5.96
4/17/2017,,,,63.2,1.4,-7.8,47.98,2.48,-5.02,33.49,1.49,-6.01
4/16/2017,,,,63.33,1.53,-7.67,48.01,2.51,-4.99,33.43,1.43,-6.07
4/15/2017,,,,63.24,1.44,-7.76,47.94,2.44,-5.06,33.21,1.21,-6.29
4/14/2017,,,,62.28,0.48,-8.72,47.08,1.58,-5.92,32.85,0.85,-6.65
4/13/2017,,,,,,,46.21,0.71,-6.79,32.64,0.64,-6.86
4/12/2017,,,,,,,46.25,0.75,-6.75,32.79,0.79,-6.71
4/11/2017,,,,,,,46.6,1.1,-6.4,32.98,0.98,-6.52
4/10/2017,,,,,,,47.23,1.73,-5.77,33.14,1.14,-6.36
4/9/2017,,,,62.25,0.45,-8.75,47.77,2.27,-5.23,32.57,0.57,-6.93
4/8/2017,,,,62.39,0.59,-8.61,47.11,1.61,-5.89,29.44,,
4/7/2017,,,,,,,,,,26.95,,
4/6/2017,,,,,,,,,,26.93,,
4/5/2017,,,,,,,,,,27.42,,
4/4/2017,,,,,,,,,,28.32,,
4/3/2017,,,,,,,45.18,,,29.46,,
4/2/2017,,,,,,,45.65,0.15,-7.35,30.65,,
4/1/2017,,,,,,,46.06,0.56,-6.94,31.55,,
3/31/2017,,,,,,,46.22,0.72,-6.78,32.32,0.32,-7.18
3/30/2017,,,,,,,46.5,1,-6.5,32.86,0.86,-6.64
3/29/2017,,,,,,,46.93,1.43,-6.07,33.26,1.26,-6.24
3/28/2017,,,,,,,47.19,1.69,-5.81,33.62,1.62,-5.88
3/27/2017,,,,61.7,,,47.52,2.02,-5.48,33.77,1.77,-5.73
3/26/2017,,,,62.89,1.09,-8.11,47.86,2.36,-5.14,33.75,1.75,-5.75
3/25/2017,,,,61.99,0.19,-9.01,46.77,1.27,-6.23,33.7,1.7,-5.8
3/24/2017,,,,,,,46.75,1.25,-6.25,33.74,1.74,-5.76
3/23/2017,,,,,,,46.29,0.79,-6.71,33.74,1.74,-5.76
3/22/2017,,,,,,,45.32,,,33.43,1.43,-6.07
3/21/2017,,,,,,,,,,33.16,1.16,-6.34
3/20/2017,,,,,,,,,,32.88,0.88,-6.62
3/19/2017,,,,,,,,,,31.57,,
3/18/2017,,,,,,,,,,29.42,,
3/17/2017,,,,,,,,,,29.12,,
3/16/2017,,,,,,,45.23,,,29.92,,
3/15/2017,,,,,,,45.68,0.18,-7.32,30.67,,
3/14/2017,,,,,,,46.18,0.68,-6.82,31.43,,
3/13/2017,,,,,,,46.64,1.14,-6.36,24.39,,
3/12/2017,,,,,,,47.07,1.57,-5.93,24.9,,
3/11/2017,,,,61.42,,,47.45,1.95,-5.55,22.48,,
3/10/2017,,,,62.19,0.39,-8.81,47.78,2.28,-5.22,23.45,,
3/9/2017,,,,63.38,1.58,-7.62,48.07,2.57,-4.93,33.08,1.08,-6.42
3/8/2017,,,,64.37,2.57,-6.63,48.32,2.82,-4.68,33.31,1.31,-6.19
3/7/2017,,,,65.33,3.53,-5.67,48.56,3.06,-4.44,33.56,1.56,-5.94
3/6/2017,,,,66.08,4.28,-4.93,48.77,3.27,-4.23,33.75,1.75,-5.75
3/5/2017,76.95,0.15,-7.45,66.61,4.81,-4.39,48.92,3.42,-4.08,33.96,1.96,-5.54
3/4/2017,77.88,1.08,-6.52,67.19,5.39,-3.81,49.06,3.56,-3.94,34.09,2.09,-5.41
3/3/2017,78.61,1.81,-5.79,67.52,5.72,-3.48,49.14,3.64,-3.86,34.22,2.22,-5.28
3/2/2017,78.86,2.06,-5.54,67.64,5.84,-3.36,49.17,3.67,-3.83,34.38,2.38,-5.12
3/1/2017,79.04,2.24,-5.36,67.73,5.93,-3.27,49.23,3.73,-3.77,34.64,2.64,-4.86
2/28/2017,79.22,2.42,-5.18,67.83,6.03,-3.17,49.3,3.8,-3.7,35.32,3.32,-4.18
2/27/2017,79.37,2.57,-5.03,67.89,6.09,-3.11,49.35,3.85,-3.65,35.61,3.61,-3.89
2/26/2017,79.46,2.66,-4.94,67.94,6.14,-3.06,49.39,3.89,-3.61,35.71,3.71,-3.79
2/25/2017,79.55,2.75,-4.85,67.97,6.17,-3.03,49.4,3.9,-3.6,35.86,3.86,-3.64
2/24/2017,79.28,2.48,-5.12,67.82,6.02,-3.18,49.4,3.9,-3.6,36.22,4.22,-3.28
2/23/2017,79.06,2.26,-5.34,67.76,5.96,-3.24,49.51,4.01,-3.49,36.68,4.68,-2.82
2/22/2017,79.26,2.46,-5.14,67.88,6.08,-3.12,49.75,4.25,-3.25,37.28,5.28,-2.22
2/21/2017,79.73,2.93,-4.67,68.14,6.34,-2.86,49.86,4.36,-3.14,37.08,5.08,-2.42
2/20/2017,80.7,3.9,-3.7,68.54,6.74,-2.46,49.73,4.23,-3.27,36.4,4.4,-3.1
2/19/2017,80.32,3.52,-4.08,68.5,6.7,-2.5,49.56,4.06,-3.44,36.58,4.58,-2.92
2/18/2017,79.15,2.35,-5.25,68.14,6.34,-2.86,49.54,4.04,-3.46,36.86,4.86,-2.64
2/17/2017,79.52,2.72,-4.88,68.45,6.65,-2.55,49.63,4.13,-3.37,36.94,4.94,-2.56
2/16/2017,79.71,2.91,-4.69,68.48,6.68,-2.52,49.63,4.13,-3.37,36.97,4.97,-2.53
2/15/2017,79.6,2.8,-4.8,68.39,6.59,-2.61,49.65,4.15,-3.35,37.05,5.05,-2.45
2/14/2017,79.56,2.76,-4.84,68.38,6.58,-2.62,49.65,4.15,-3.35,36.77,4.77,-2.73
2/13/2017,79.71,2.91,-4.69,68.49,6.69,-2.51,49.73,4.23,-3.27,36.76,4.75,-2.75
2/12/2017,79.98,3.18,-4.42,68.61,6.81,-2.4,49.79,4.29,-3.21,37.37,5.37,-2.13
2/11/2017,79.93,3.13,-4.47,68.56,6.76,-2.44,49.72,4.22,-3.28,37.72,5.72,-1.78
2/10/2017,79.67,2.87,-4.73,68.48,6.68,-2.52,49.57,4.07,-3.43,37.02,5.02,-2.48
2/9/2017,79.9,3.1,-4.5,68.53,6.72,-2.48,49.42,3.92,-3.58,36.27,4.27,-3.23
2/8/2017,78.25,1.45,-6.15,67.47,5.67,-3.53,49.04,3.54,-3.96,35.86,3.86,-3.64
2/7/2017,76.78,,,65.87,4.07,-5.13,48.63,3.13,-4.37,34.66,2.66,-4.84
2/6/2017,,,,65.46,3.66,-5.54,48.57,3.07,-4.43,34.12,2.12,-5.38
2/5/2017,,,,65.66,3.86,-5.34,48.57,3.07,-4.43,33.93,1.93,-5.57
2/4/2017,,,,65.03,3.23,-5.97,48.29,2.79,-4.71,33.6,1.6,-5.9
2/3/2017,,,,62.94,1.14,-8.06,47.86,2.36,-5.14,33.25,1.25,-6.25
2/2/2017,,,,62.75,0.95,-8.25,47.85,2.35,-5.15,33.24,1.24,-6.26
2/1/2017,,,,62.91,1.11,-8.09,47.89,2.39,-5.11,33.21,1.21,-6.29
1/31/2017,,,,63.17,1.37,-7.83,47.95,2.45,-5.05,33.22,1.22,-6.28
1/30/2017,,,,63.57,1.77,-7.43,48.06,2.56,-4.94,33.33,1.33,-6.18
