WY 2014,MLW Daily Avg, MLW Ft above Crest, MLW Ft above/below Flood,CLW Daily Avg, CLW Ft above Crest, CLW Ft above/below Flood,TIS Daily Avg, TIS Ft above Crest, TIS Ft above/below Flood,FRE Daily Avg, FRE Ft above Crest, FRE Ft above/below Flood
9/30/2014,,,,,,,,,,13.41,,
9/29/2014,,,,,,,,,,13.57,,
9/28/2014,,,,,,,,,,13.76,,
9/27/2014,,,,,,,,,,13.7,,
9/26/2014,,,,,,,,,,13.61,,
9/25/2014,,,,,,,,,,13.59,,
9/24/2014,,,,,,,,,,13.67,,
9/23/2014,,,,,,,,,,13.68,,
9/22/2014,,,,,,,,,,13.74,,
9/21/2014,,,,,,,,,,13.8,,
9/20/2014,,,,,,,,,,13.84,,
9/19/2014,,,,,,,,,,13.89,,
9/18/2014,,,,,,,,,,13.96,,
9/17/2014,,,,,,,,,,14.01,,
9/16/2014,,,,,,,,,,14.09,,
9/15/2014,,,,,,,,,,14.17,,
9/14/2014,,,,,,,,,,14.28,,
9/13/2014,,,,,,,,,,14.42,,
9/12/2014,,,,,,,,,,14.5,,
9/11/2014,,,,,,,,,,14.53,,
9/10/2014,,,,,,,,,,14.49,,
9/9/2014,,,,,,,,,,14.53,,
9/8/2014,,,,,,,,,,14.62,,
9/7/2014,,,,,,,,,,14.68,,
9/6/2014,,,,,,,,,,14.68,,
9/5/2014,,,,,,,,,,14.66,,
9/4/2014,,,,,,,,,,14.58,,
9/3/2014,,,,,,,,,,14.49,,
9/2/2014,,,,,,,,,,14.52,,
9/1/2014,,,,,,,,,,14.56,,
8/31/2014,,,,,,,,,,14.54,,
8/30/2014,,,,,,,,,,14.4,,
8/29/2014,,,,,,,,,,14.18,,
8/28/2014,,,,,,,,,,14.07,,
8/27/2014,,,,,,,,,,13.99,,
8/26/2014,,,,,,,,,,13.92,,
8/25/2014,,,,,,,,,,13.88,,
8/24/2014,,,,,,,,,,,,
8/23/2014,,,,,,,,,,,,
8/22/2014,,,,,,,,,,,,
8/21/2014,,,,,,,,,,13.68,,
8/20/2014,,,,,,,,,,13.64,,
8/19/2014,,,,,,,,,,13.59,,
8/18/2014,,,,,,,,,,13.62,,
8/17/2014,,,,,,,,,,13.71,,
8/16/2014,,,,,,,,,,13.79,,
8/15/2014,,,,,,,,,,14.09,,
8/14/2014,,,,,,,,,,14.35,,
8/13/2014,,,,,,,,,,14.36,,
8/12/2014,,,,,,,,,,14.46,,
8/11/2014,,,,,,,,,,14.8,,
8/10/2014,,,,,,,,,,15.01,,
8/9/2014,,,,,,,,,,14.96,,
8/8/2014,,,,,,,,,,14.83,,
8/7/2014,,,,,,,,,,14.47,,
8/6/2014,,,,,,,,,,14.13,,
8/5/2014,,,,,,,,,,13.9,,
8/4/2014,,,,,,,,,,13.8,,
8/3/2014,,,,,,,,,,13.77,,
8/2/2014,,,,,,,,,,13.83,,
8/1/2014,,,,,,,,,,13.98,,
7/31/2014,,,,,,,,,,14.16,,
7/30/2014,,,,,,,,,,14.3,,
7/29/2014,,,,,,,,,,14.24,,
7/28/2014,,,,,,,,,,14.15,,
7/27/2014,,,,,,,,,,14.16,,
7/26/2014,,,,,,,,,,14.27,,
7/25/2014,,,,,,,,,,14.35,,
7/24/2014,,,,,,,,,,14.24,,
