WY 2018,MLW Daily Avg, MLW Ft above Crest, MLW Ft above/below Flood,CLW Daily Avg, CLW Ft above Crest, CLW Ft above/below Flood,TIS Daily Avg, TIS Ft above Crest, TIS Ft above/below Flood,FRE Daily Avg, FRE Ft above Crest, FRE Ft above/below Flood
9/30/2018,,,,,,,,,,15.52,,
9/29/2018,,,,,,,,,,15.5,,
9/28/2018,,,,,,,,,,15.58,,
9/27/2018,,,,,,,,,,15.56,,
9/26/2018,,,,,,,,,,15.58,,
9/25/2018,,,,,,,,,,15.55,,
9/24/2018,,,,,,,,,,15.58,,
9/23/2018,,,,,,,,,,15.72,,
9/22/2018,,,,,,,,,,15.91,,
9/21/2018,,,,,,,,,,16.1,,
9/20/2018,,,,,,,,,,16.19,,
9/19/2018,,,,,,,,,,16.24,,
9/18/2018,,,,,,,,,,16.29,,
9/17/2018,,,,,,,,,,16.33,,
9/16/2018,,,,,,,,,,16.39,,
9/15/2018,,,,,,,,,,16.51,,
9/14/2018,,,,,,,,,,16.58,,
9/13/2018,,,,,,,,,,16.71,,
9/12/2018,,,,,,,,,,16.8,,
9/11/2018,,,,,,,,,,16.78,,
9/10/2018,,,,,,,,,,16.79,,
9/9/2018,,,,,,,,,,16.85,,
9/8/2018,,,,,,,,,,16.83,,
9/7/2018,,,,,,,,,,17.03,,
9/6/2018,,,,,,,,,,17.06,,
9/5/2018,,,,,,,,,,16.9,,
9/4/2018,,,,,,,,,,16.8,,
9/3/2018,,,,,,,,,,16.87,,
9/2/2018,,,,,,,,,,16.88,,
9/1/2018,,,,,,,,,,17.02,,
8/31/2018,,,,,,,,,,17.05,,
8/30/2018,,,,,,,,,,16.93,,
8/29/2018,,,,,,,,,,16.68,,
8/28/2018,,,,,,,,,,16.44,,
8/27/2018,,,,,,,,,,16.53,,
8/26/2018,,,,,,,,,,16.76,,
8/25/2018,,,,,,,,,,16.72,,
8/24/2018,,,,,,,,,,16.69,,
8/23/2018,,,,,,,,,,16.49,,
8/22/2018,,,,,,,,,,16.29,,
8/21/2018,,,,,,,,,,16.15,,
8/20/2018,,,,,,,,,,16.08,,
8/19/2018,,,,,,,,,,16.06,,
8/18/2018,,,,,,,,,,16.11,,
8/17/2018,,,,,,,,,,16.27,,
8/16/2018,,,,,,,,,,16.39,,
8/15/2018,,,,,,,,,,16.51,,
8/14/2018,,,,,,,,,,16.61,,
8/13/2018,,,,,,,,,,16.71,,
8/12/2018,,,,,,,,,,16.84,,
8/11/2018,,,,,,,,,,16.91,,
8/10/2018,,,,,,,,,,17.01,,
8/9/2018,,,,,,,,,,16.99,,
8/8/2018,,,,,,,,,,16.94,,
8/7/2018,,,,,,,,,,16.96,,
8/6/2018,,,,,,,,,,16.9,,
8/5/2018,,,,,,,,,,16.66,,
8/4/2018,,,,,,,,,,16.24,,
8/3/2018,,,,,,,,,,16.14,,
8/2/2018,,,,,,,,,,16.11,,
8/1/2018,,,,,,,,,,15.94,,
7/31/2018,,,,,,,,,,15.72,,
7/30/2018,,,,,,,,,,15.53,,
7/29/2018,,,,,,,,,,15.27,,
7/28/2018,,,,,,,,,,15.35,,
7/27/2018,,,,,,,,,,15.38,,
7/26/2018,,,,,,,,,,15.32,,
7/25/2018,,,,,,,,,,15.27,,
7/24/2018,,,,,,,,,,15.27,,
7/23/2018,,,,,,,,,,15.22,,
