WY 2015,MLW Daily Avg, MLW Ft above Crest, MLW Ft above/below Flood,CLW Daily Avg, CLW Ft above Crest, CLW Ft above/below Flood,TIS Daily Avg, TIS Ft above Crest, TIS Ft above/below Flood,FRE Daily Avg, FRE Ft above Crest, FRE Ft above/below Flood
9/30/2015,,,,,,,,,,14.19,,
9/29/2015,,,,,,,,,,14.14,,
9/28/2015,,,,,,,,,,14.27,,
9/27/2015,,,,,,,,,,14.33,,
9/26/2015,,,,,,,,,,14.38,,
9/25/2015,,,,,,,,,,14.31,,
9/24/2015,,,,,,,,,,14.39,,
9/23/2015,,,,,,,,,,14.41,,
9/22/2015,,,,,,,,,,14.42,,
9/21/2015,,,,,,,,,,14.46,,
9/20/2015,,,,,,,,,,14.53,,
9/19/2015,,,,,,,,,,14.45,,
9/18/2015,,,,,,,,,,14.49,,
9/17/2015,,,,,,,,,,14.46,,
9/16/2015,,,,,,,,,,14.46,,
9/15/2015,,,,,,,,,,14.34,,
9/14/2015,,,,,,,,,,14.19,,
9/13/2015,,,,,,,,,,14.26,,
9/12/2015,,,,,,,,,,14.44,,
9/11/2015,,,,,,,,,,14.44,,
9/10/2015,,,,,,,,,,14.39,,
9/9/2015,,,,,,,,,,14.38,,
9/8/2015,,,,,,,,,,14.41,,
9/7/2015,,,,,,,,,,14.44,,
9/6/2015,,,,,,,,,,14.43,,
9/5/2015,,,,,,,,,,14.35,,
9/4/2015,,,,,,,,,,14.38,,
9/3/2015,,,,,,,,,,14.32,,
9/2/2015,,,,,,,,,,14.3,,
9/1/2015,,,,,,,,,,14.23,,
8/31/2015,,,,,,,,,,14.26,,
8/30/2015,,,,,,,,,,14.25,,
8/29/2015,,,,,,,,,,14.25,,
8/28/2015,,,,,,,,,,14.23,,
8/27/2015,,,,,,,,,,14.2,,
8/26/2015,,,,,,,,,,14.08,,
8/25/2015,,,,,,,,,,14.18,,
8/24/2015,,,,,,,,,,13.41,,
8/23/2015,,,,,,,,,,12.89,,
8/22/2015,,,,,,,,,,12.8,,
8/21/2015,,,,,,,,,,12.84,,
8/20/2015,,,,,,,,,,12.89,,
8/19/2015,,,,,,,,,,12.8,,
8/18/2015,,,,,,,,,,12.68,,
8/17/2015,,,,,,,,,,12.75,,
8/16/2015,,,,,,,,,,12.71,,
8/15/2015,,,,,,,,,,12.74,,
8/14/2015,,,,,,,,,,12.79,,
8/13/2015,,,,,,,,,,12.88,,
8/12/2015,,,,,,,,,,12.83,,
8/11/2015,,,,,,,,,,12.78,,
8/10/2015,,,,,,,,,,12.63,,
8/9/2015,,,,,,,,,,12.56,,
8/8/2015,,,,,,,,,,12.44,,
8/7/2015,,,,,,,,,,12.41,,
8/6/2015,,,,,,,,,,12.34,,
8/5/2015,,,,,,,,,,12.3,,
8/4/2015,,,,,,,,,,12.28,,
8/3/2015,,,,,,,,,,12.29,,
8/2/2015,,,,,,,,,,12.3,,
8/1/2015,,,,,,,,,,12.35,,
7/31/2015,,,,,,,,,,12.34,,
7/30/2015,,,,,,,,,,12.3,,
7/29/2015,,,,,,,,,,12.27,,
7/28/2015,,,,,,,,,,12.27,,
7/27/2015,,,,,,,,,,12.25,,
7/26/2015,,,,,,,,,,12.17,,
7/25/2015,,,,,,,,,,12.13,,
7/24/2015,,,,,,,,,,12.19,,
7/23/2015,,,,,,,,,,12.17,,
7/22/2015,,,,,,,,,,12.11,,
7/21/2015,,,,,,,,,,12.18,,
7/20/2015,,,,,,,,,,12.32,,
7/19/2015,,,,,,,,,,12.55,,
7/18/2015,,,,,,,,,,12.65,,
7/17/2015,,,,,,,,,,12.64,,
7/16/2015,,,,,,,,,,12.53,,
7/15/2015,,,,,,,,,,12.45,,
7/14/2015,,,,,,,,,,12.42,,
7/13/2015,,,,,,,,,,12.36,,
7/12/2015,,,,,,,,,,12.31,,
7/11/2015,,,,,,,,,,12.27,,
7/10/2015,,,,,,,,,,12.24,,
7/9/2015,,,,,,,,,,12.1,,
7/8/2015,,,,,,,,,,11.98,,
7/7/2015,,,,,,,,,,11.97,,
7/6/2015,,,,,,,,,,11.98,,
7/5/2015,,,,,,,,,,11.92,,
7/4/2015,,,,,,,,,,11.9,,
7/3/2015,,,,,,,,,,11.91,,
7/2/2015,,,,,,,,,,11.79,,
7/1/2015,,,,,,,,,,11.7,,
6/30/2015,,,,,,,,,,11.65,,
6/29/2015,,,,,,,,,,11.65,,
6/28/2015,,,,,,,,,,11.62,,
6/27/2015,,,,,,,,,,11.65,,
6/26/2015,,,,,,,,,,11.71,,
6/25/2015,,,,,,,,,,11.76,,
6/24/2015,,,,,,,,,,11.81,,
6/23/2015,,,,,,,,,,11.82,,
6/22/2015,,,,,,,,,,11.79,,
6/21/2015,,,,,,,,,,11.71,,
6/20/2015,,,,,,,,,,11.67,,
6/19/2015,,,,,,,,,,11.73,,
6/18/2015,,,,,,,,,,11.73,,
6/17/2015,,,,,,,,,,11.79,,
6/16/2015,,,,,,,,,,11.91,,
6/15/2015,,,,,,,,,,12.01,,
6/14/2015,,,,,,,,,,12.1,,
6/13/2015,,,,,,,,,,12.19,,
6/12/2015,,,,,,,,,,12.21,,
6/11/2015,,,,,,,,,,12.24,,
6/10/2015,,,,,,,,,,12.38,,
6/9/2015,,,,,,,,,,12.51,,
6/8/2015,,,,,,,,,,12.63,,
6/7/2015,,,,,,,,,,12.72,,
6/6/2015,,,,,,,,,,12.74,,
6/5/2015,,,,,,,,,,12.69,,
6/4/2015,,,,,,,,,,12.66,,
6/3/2015,,,,,,,,,,12.54,,
6/2/2015,,,,,,,,,,12.52,,
6/1/2015,,,,,,,,,,12.53,,
5/31/2015,,,,,,,,,,12.54,,
5/30/2015,,,,,,,,,,12.73,,
5/29/2015,,,,,,,,,,13.07,,
5/28/2015,,,,,,,,,,13.38,,
5/27/2015,,,,,,,,,,13.59,,
5/26/2015,,,,,,,,,,13.79,,
5/25/2015,,,,,,,,,,13.92,,
5/24/2015,,,,,,,,,,13.75,,
5/23/2015,,,,,,,,,,13.61,,
5/22/2015,,,,,,,,,,13.61,,
5/21/2015,,,,,,,,,,13.78,,
5/20/2015,,,,,,,,,,13.77,,
5/19/2015,,,,,,,,,,13.58,,
5/18/2015,,,,,,,,,,13.33,,
5/17/2015,,,,,,,,,,13.16,,
5/16/2015,,,,,,,,,,13.08,,
5/15/2015,,,,,,,,,,12.99,,
5/14/2015,,,,,,,,,,12.98,,
5/13/2015,,,,,,,,,,12.85,,
5/12/2015,,,,,,,,,,12.72,,
5/11/2015,,,,,,,,,,12.61,,
5/10/2015,,,,,,,,,,12.47,,
5/9/2015,,,,,,,,,,12.44,,
5/8/2015,,,,,,,,,,12.5,,
5/7/2015,,,,,,,,,,12.37,,
5/6/2015,,,,,,,,,,12.34,,
5/5/2015,,,,,,,,,,12.24,,
5/4/2015,,,,,,,,,,12.16,,
5/3/2015,,,,,,,,,,12.1,,
5/2/2015,,,,,,,,,,12.2,,
5/1/2015,,,,,,,,,,12.47,,
4/30/2015,,,,,,,,,,12.64,,
4/29/2015,,,,,,,,,,12.76,,
4/28/2015,,,,,,,,,,12.77,,
4/27/2015,,,,,,,,,,12.73,,
4/26/2015,,,,,,,,,,12.41,,
4/25/2015,,,,,,,,,,12.02,,
4/24/2015,,,,,,,,,,11.96,,
4/23/2015,,,,,,,,,,12.08,,
4/22/2015,,,,,,,,,,12.35,,
4/21/2015,,,,,,,,,,12.51,,
4/20/2015,,,,,,,,,,12.43,,
4/19/2015,,,,,,,,,,12.18,,
4/18/2015,,,,,,,,,,12.22,,
4/17/2015,,,,,,,,,,12.4,,
4/16/2015,,,,,,,,,,12.55,,
4/15/2015,,,,,,,,,,12.74,,
4/14/2015,,,,,,,,,,12.89,,
4/13/2015,,,,,,,,,,13.04,,
4/12/2015,,,,,,,,,,13.15,,
4/11/2015,,,,,,,,,,13.28,,
4/10/2015,,,,,,,,,,13.33,,
4/9/2015,,,,,,,,,,13.45,,
4/8/2015,,,,,,,,,,13.33,,
4/7/2015,,,,,,,,,,13.1,,
4/6/2015,,,,,,,,,,13.17,,
4/5/2015,,,,,,,,,,13.12,,
4/4/2015,,,,,,,,,,12.67,,
4/3/2015,,,,,,,,,,12.45,,
4/2/2015,,,,,,,,,,12.5,,
4/1/2015,,,,,,,,,,12.51,,
3/31/2015,,,,,,,,,,12.47,,
3/30/2015,,,,,,,,,,12.47,,
3/29/2015,,,,,,,,,,12.6,,
3/28/2015,,,,,,,,,,12.83,,
3/27/2015,,,,,,,,,,13,,
3/26/2015,,,,,,,,,,13.05,,
3/25/2015,,,,,,,,,,13.01,,
3/24/2015,,,,,,,,,,13,,
3/23/2015,,,,,,,,,,13.11,,
3/22/2015,,,,,,,,,,13.17,,
3/21/2015,,,,,,,,,,13.25,,
3/20/2015,,,,,,,,,,13.37,,
3/19/2015,,,,,,,,,,13.59,,
3/18/2015,,,,,,,,,,13.61,,
3/17/2015,,,,,,,,,,13.67,,
3/16/2015,,,,,,,,,,13.78,,
3/15/2015,,,,,,,,,,13.72,,
3/14/2015,,,,,,,,,,13.72,,
3/13/2015,,,,,,,,,,13.88,,
3/12/2015,,,,,,,,,,14.03,,
3/11/2015,,,,,,,,,,14.01,,
3/10/2015,,,,,,,,,,14.01,,
3/9/2015,,,,,,,,,,14.07,,
3/8/2015,,,,,,,,,,14.13,,
3/7/2015,,,,,,,,,,14.34,,
3/6/2015,,,,,,,,,,14.59,,
3/5/2015,,,,,,,,,,14.73,,
3/4/2015,,,,,,,,,,14.82,,
3/3/2015,,,,,,,,,,14.9,,
3/2/2015,,,,,,,,,,15.18,,
3/1/2015,,,,,,,,,,15.46,,
2/28/2015,,,,,,,,,,15.61,,
2/27/2015,,,,,,,,,,15.79,,
2/26/2015,,,,,,,,,,15.9,,
2/25/2015,,,,,,,,,,15.99,,
2/24/2015,,,,,,,,,,16.33,,
2/23/2015,,,,,,,,,,16.73,,
2/22/2015,,,,,,,,,,17.14,,
2/21/2015,,,,,,,,,,17.52,,
2/20/2015,,,,,,,,,,17.8,,
2/19/2015,,,,,,,,,,18.15,,
2/18/2015,,,,,,,,,,18.72,,
2/17/2015,,,,,,,,,,19.55,,
2/16/2015,,,,,,,,,,20.76,,
2/15/2015,,,,,,,,,,22.11,,
2/14/2015,,,,,,,,,,23.57,,
2/13/2015,,,,,,,,,,25.3,,
2/12/2015,,,,,,,45.49,,,27.01,,
2/11/2015,,,,,,,46.56,1.06,-6.44,27.64,,
2/10/2015,,,,,,,47,1.5,-6,27.29,,
2/9/2015,,,,62,0.2,-9,47.16,1.66,-5.84,26.28,,
