WY 2012,MLW Daily Avg, MLW Ft above Crest, MLW Ft above/below Flood,CLW Daily Avg, CLW Ft above Crest, CLW Ft above/below Flood,TIS Daily Avg, TIS Ft above Crest, TIS Ft above/below Flood,FRE Daily Avg, FRE Ft above Crest, FRE Ft above/below Flood
9/30/2012,,,,,,,,,,16.07,,
9/29/2012,,,,,,,,,,16.26,,
9/28/2012,,,,,,,,,,16.51,,
9/27/2012,,,,,,,,,,16.59,,
9/26/2012,,,,,,,,,,16.61,,
9/25/2012,,,,,,,,,,16.6,,
9/24/2012,,,,,,,,,,16.72,,
9/23/2012,,,,,,,,,,16.87,,
9/22/2012,,,,,,,,,,17.06,,
9/21/2012,,,,,,,,,,17.1,,
9/20/2012,,,,,,,,,,17.16,,
9/19/2012,,,,,,,,,,17.24,,
9/18/2012,,,,,,,,,,17.69,,
9/17/2012,,,,,,,,,,17.87,,
9/16/2012,,,,,,,,,,17.98,,
9/15/2012,,,,,,,,,,18.09,,
9/14/2012,,,,,,,,,,18.28,,
9/13/2012,,,,,,,,,,18.32,,
9/12/2012,,,,,,,,,,18.34,,
9/11/2012,,,,,,,,,,18.45,,
9/10/2012,,,,,,,,,,18.45,,
9/9/2012,,,,,,,,,,18.4,,
9/8/2012,,,,,,,,,,18.35,,
9/7/2012,,,,,,,,,,18.31,,
9/6/2012,,,,,,,,,,18.21,,
9/5/2012,,,,,,,,,,18.14,,
9/4/2012,,,,,,,,,,17.91,,
9/3/2012,,,,,,,,,,17.81,,
9/2/2012,,,,,,,,,,17.62,,
9/1/2012,,,,,,,,,,17.51,,
8/31/2012,,,,,,,,,,17.3,,
8/30/2012,,,,,,,,,,17.12,,
8/29/2012,,,,,,,,,,17,,
8/28/2012,,,,,,,,,,16.91,,
8/27/2012,,,,,,,,,,16.95,,
8/26/2012,,,,,,,,,,17.02,,
8/25/2012,,,,,,,,,,17.18,,
8/24/2012,,,,,,,,,,17.27,,
8/23/2012,,,,,,,,,,17.59,,
8/22/2012,,,,,,,,,,17.66,,
8/21/2012,,,,,,,,,,17.58,,
8/20/2012,,,,,,,,,,17.57,,
8/19/2012,,,,,,,,,,17.61,,
8/18/2012,,,,,,,,,,17.68,,
8/17/2012,,,,,,,,,,17.75,,
8/16/2012,,,,,,,,,,17.88,,
8/15/2012,,,,,,,,,,18.05,,
8/14/2012,,,,,,,,,,18.18,,
8/13/2012,,,,,,,,,,18.36,,
8/12/2012,,,,,,,,,,18.57,,
8/11/2012,,,,,,,,,,18.79,,
8/10/2012,,,,,,,,,,19.09,,
8/9/2012,,,,,,,,,,19.51,,
8/8/2012,,,,,,,,,,19.76,,
8/7/2012,,,,,,,,,,19.86,,
8/6/2012,,,,,,,,,,19.78,,
8/5/2012,,,,,,,,,,19.7,,
8/4/2012,,,,,,,,,,19.64,,
8/3/2012,,,,,,,43.87,,,19.57,,
8/2/2012,,,,,,,,,,19.48,,
8/1/2012,,,,,,,,,,19.33,,
7/31/2012,,,,,,,,,,19.15,,
7/30/2012,,,,,,,,,,19.19,,
7/29/2012,,,,,,,,,,19.18,,
7/28/2012,,,,,,,,,,19.1,,
7/27/2012,,,,,,,,,,19.05,,
7/26/2012,,,,,,,,,,19.01,,
7/25/2012,,,,,,,,,,19.03,,
7/24/2012,,,,,,,,,,19.07,,
7/23/2012,,,,,,,,,,19.01,,
7/22/2012,,,,,,,,,,18.98,,
7/21/2012,,,,,,,,,,18.96,,
7/20/2012,,,,,,,,,,18.87,,
7/19/2012,,,,,,,,,,18.88,,
7/18/2012,,,,,,,,,,18.85,,
7/17/2012,,,,,,,,,,18.69,,
7/16/2012,,,,,,,,,,18.54,,
7/15/2012,,,,,,,,,,18.51,,
7/14/2012,,,,,,,,,,18.56,,
7/13/2012,,,,,,,,,,18.51,,
7/12/2012,,,,,,,,,,18.34,,
7/11/2012,,,,,,,,,,18,,
7/10/2012,,,,,,,,,,17.94,,
7/9/2012,,,,,,,,,,17.83,,
7/8/2012,,,,,,,,,,17.79,,
7/7/2012,,,,,,,,,,17.8,,
7/6/2012,,,,,,,,,,17.82,,
7/5/2012,,,,,,,,,,17.87,,
7/4/2012,,,,,,,,,,17.8,,
7/3/2012,,,,,,,,,,17.67,,
7/2/2012,,,,,,,,,,17.6,,
7/1/2012,,,,,,,,,,17.6,,
6/30/2012,,,,,,,,,,17.89,,
6/29/2012,,,,,,,,,,17.95,,
6/28/2012,,,,,,,,,,17.54,,
6/27/2012,,,,,,,,,,17.09,,
6/26/2012,,,,,,,,,,16.54,,
6/25/2012,,,,,,,,,,16.17,,
6/24/2012,,,,,,,,,,15.85,,
6/23/2012,,,,,,,,,,15.63,,
6/22/2012,,,,,,,,,,15.7,,
6/21/2012,,,,,,,,,,15.89,,
6/20/2012,,,,,,,,,,15.87,,
6/19/2012,,,,,,,,,,15.7,,
6/18/2012,,,,,,,,,,15.25,,
6/17/2012,,,,,,,,,,14.99,,
6/16/2012,,,,,,,,,,14.82,,
6/15/2012,,,,,,,,,,14.85,,
6/14/2012,,,,,,,,,,14.97,,
6/13/2012,,,,,,,,,,15.11,,
6/12/2012,,,,,,,,,,15.18,,
6/11/2012,,,,,,,,,,15.55,,
6/10/2012,,,,,,,,,,15.94,,
6/9/2012,,,,,,,,,,16.16,,
6/8/2012,,,,,,,,,,16.23,,
6/7/2012,,,,,,,,,,16.08,,
6/6/2012,,,,,,,,,,15.37,,
6/5/2012,,,,,,,,,,14.61,,
6/4/2012,,,,,,,45.14,,,14.63,,
6/3/2012,,,,,,,45.14,,,14.72,,
6/2/2012,,,,,,,45.14,,,14.7,,
6/1/2012,,,,,,,45.14,,,14.61,,
5/31/2012,,,,,,,45.14,,,14.71,,
5/30/2012,,,,,,,45.14,,,15.02,,
5/29/2012,,,,,,,45.14,,,14.82,,
5/28/2012,,,,,,,45.14,,,14.49,,
5/27/2012,,,,,,,45.14,,,14.49,,
5/26/2012,,,,,,,45.14,,,14.74,,
5/25/2012,,,,,,,45.14,,,14.81,,
5/24/2012,,,,,,,45.14,,,14.61,,
5/23/2012,,,,,,,45.14,,,14.3,,
5/22/2012,,,,,,,45.14,,,14.35,,
5/21/2012,,,,,,,45.14,,,14.18,,
5/20/2012,,,,,,,45.14,,,13.94,,
5/19/2012,,,,,,,45.14,,,13.74,,
5/18/2012,,,,,,,45.14,,,13.73,,
5/17/2012,,,,,,,45.14,,,13.86,,
5/16/2012,,,,,,,45.14,,,13.87,,
5/15/2012,,,,,,,45.14,,,14.02,,
5/14/2012,,,,,,,45.14,,,14.21,,
5/13/2012,,,,,,,45.14,,,14.28,,
5/12/2012,,,,,,,45.14,,,14.49,,
5/11/2012,,,,,,,45.14,,,14.62,,
5/10/2012,,,,,,,45.14,,,14.54,,
5/9/2012,,,,,,,45.14,,,14.96,,
5/8/2012,,,,,,,45.14,,,15.78,,
5/7/2012,,,,,,,45.14,,,16.53,,
5/6/2012,,,,,,,45.14,,,16.94,,
5/5/2012,,,,,,,45.14,,,17.11,,
5/4/2012,,,,,,,45.14,,,17.7,,
5/3/2012,,,,,,,45.14,,,18.28,,
5/2/2012,,,,,,,45.14,,,18.81,,
5/1/2012,,,,,,,45.14,,,19.38,,
4/30/2012,,,,,,,45.14,,,20.25,,
4/29/2012,,,,,,,45.14,,,21.33,,
4/28/2012,,,,,,,45.14,,,21.85,,
4/27/2012,,,,,,,45.14,,,20.75,,
4/26/2012,,,,,,,45.14,,,19.57,,
4/25/2012,,,,,,,45.14,,,19.5,,
4/24/2012,,,,,,,45.14,,,19.26,,
4/23/2012,,,,,,,45.14,,,18.99,,
4/22/2012,,,,,,,45.14,,,19.04,,
4/21/2012,,,,,,,45.14,,,19.23,,
4/20/2012,,,,,,,45.14,,,19.56,,
4/19/2012,,,,,,,45.14,,,20.03,,
4/18/2012,,,,,,,45.14,,,21.06,,
4/17/2012,,,,,,,45.14,,,22.75,,
4/16/2012,,,,,,,45.14,,,24.6,,
