WY 2001,MLW Daily Avg, MLW Ft above Crest, MLW Ft above/below Flood,CLW Daily Avg, CLW Ft above Crest, CLW Ft above/below Flood,TIS Daily Avg, TIS Ft above Crest, TIS Ft above/below Flood,FRE Daily Avg, FRE Ft above Crest, FRE Ft above/below Flood
9/30/2001,,,,,,,45.15,,,15.45,,
9/29/2001,,,,,,,45.15,,,15.58,,
9/28/2001,,,,,,,45.15,,,15.61,,
9/27/2001,,,,,,,45.15,,,15.59,,
9/26/2001,,,,,,,45.15,,,15.53,,
9/25/2001,,,,,,,45.15,,,15.49,,
9/24/2001,,,,,,,45.15,,,15.51,,
9/23/2001,,,,,,,45.15,,,15.58,,
9/22/2001,,,,,,,45.15,,,15.64,,
9/21/2001,,,,,,,45.15,,,15.65,,
9/20/2001,,,,,,,45.15,,,15.75,,
9/19/2001,,,,,,,45.15,,,15.88,,
9/18/2001,,,,,,,45.15,,,15.92,,
9/17/2001,,,,,,,45.15,,,15.9,,
9/16/2001,,,,,,,45.15,,,16.03,,
9/15/2001,,,,,,,45.15,,,16.05,,
9/14/2001,,,,,,,45.15,,,16.14,,
9/13/2001,,,,,,,45.15,,,16.16,,
9/12/2001,,,,,,,45.15,,,16.14,,
9/11/2001,,,,,,,45.15,,,16.13,,
9/10/2001,,,,,,,45.15,,,16.18,,
9/9/2001,,,,,,,45.15,,,16.19,,
9/8/2001,,,,,,,45.15,,,16.17,,
9/7/2001,,,,,,,45.15,,,16.14,,
9/6/2001,,,,,,,45.15,,,16.11,,
9/5/2001,,,,,,,45.15,,,16.04,,
9/4/2001,,,,,,,45.15,,,15.98,,
9/3/2001,,,,,,,45.15,,,15.95,,
9/2/2001,,,,,,,45.15,,,15.9,,
9/1/2001,,,,,,,45.15,,,15.9,,
8/31/2001,,,,,,,45.15,,,15.98,,
8/30/2001,,,,,,,45.15,,,16.04,,
8/29/2001,,,,,,,45.15,,,15.89,,
8/28/2001,,,,,,,45.15,,,15.72,,
8/27/2001,,,,,,,45.15,,,15.71,,
8/26/2001,,,,,,,45.15,,,15.75,,
8/25/2001,,,,,,,45.15,,,15.85,,
8/24/2001,,,,,,,45.15,,,15.95,,
8/23/2001,,,,,,,45.15,,,16.04,,
8/22/2001,,,,,,,45.15,,,16.08,,
8/21/2001,,,,,,,45.15,,,16.15,,
8/20/2001,,,,,,,45.15,,,16.26,,
8/19/2001,,,,,,,45.15,,,16.31,,
8/18/2001,,,,,,,45.15,,,16.34,,
8/17/2001,,,,,,,45.15,,,16.35,,
8/16/2001,,,,,,,45.15,,,16.32,,
8/15/2001,,,,,,,45.15,,,16.35,,
8/14/2001,,,,,,,45.15,,,16.42,,
8/13/2001,,,,,,,45.15,,,16.46,,
8/12/2001,,,,,,,45.15,,,16.47,,
8/11/2001,,,,,,,45.15,,,16.47,,
8/10/2001,,,,,,,45.15,,,16.49,,
8/9/2001,,,,,,,45.15,,,16.51,,
8/8/2001,,,,,,,45.15,,,16.53,,
8/7/2001,,,,,,,45.15,,,16.57,,
8/6/2001,,,,,,,45.15,,,16.66,,
8/5/2001,,,,,,,45.15,,,16.83,,
8/4/2001,,,,,,,45.15,,,17.04,,
8/3/2001,,,,,,,45.15,,,17.2,,
8/2/2001,,,,,,,45.15,,,17.33,,
8/1/2001,,,,,,,45.15,,,17.5,,
7/31/2001,,,,,,,45.15,,,17.67,,
7/30/2001,,,,,,,45.15,,,17.69,,
