WY 2002,MLW Daily Avg, MLW Ft above Crest, MLW Ft above/below Flood,CLW Daily Avg, CLW Ft above Crest, CLW Ft above/below Flood,TIS Daily Avg, TIS Ft above Crest, TIS Ft above/below Flood,FRE Daily Avg, FRE Ft above Crest, FRE Ft above/below Flood
9/30/2002,,,,,,,45.15,,,15.57,,
9/29/2002,,,,,,,45.15,,,15.64,,
9/28/2002,,,,,,,45.15,,,15.71,,
9/27/2002,,,,,,,45.15,,,15.77,,
9/26/2002,,,,,,,45.15,,,15.85,,
9/25/2002,,,,,,,45.15,,,15.93,,
9/24/2002,,,,,,,45.15,,,16,,
9/23/2002,,,,,,,45.15,,,16.07,,
9/22/2002,,,,,,,45.15,,,16.16,,
9/21/2002,,,,,,,45.15,,,16.25,,
9/20/2002,,,,,,,45.15,,,16.33,,
9/19/2002,,,,,,,45.15,,,16.36,,
9/18/2002,,,,,,,45.15,,,16.34,,
9/17/2002,,,,,,,45.15,,,16.25,,
9/16/2002,,,,,,,45.15,,,16.26,,
9/15/2002,,,,,,,45.15,,,16.32,,
9/14/2002,,,,,,,45.15,,,16.37,,
9/13/2002,,,,,,,45.15,,,16.38,,
9/12/2002,,,,,,,45.15,,,16.33,,
9/11/2002,,,,,,,45.15,,,16.24,,
9/10/2002,,,,,,,45.15,,,16.19,,
9/9/2002,,,,,,,45.15,,,16.17,,
9/8/2002,,,,,,,45.15,,,16.16,,
9/7/2002,,,,,,,45.15,,,16.2,,
9/6/2002,,,,,,,45.15,,,16.23,,
9/5/2002,,,,,,,45.15,,,16.27,,
9/4/2002,,,,,,,45.15,,,16.34,,
9/3/2002,,,,,,,45.15,,,16.43,,
9/2/2002,,,,,,,45.15,,,16.55,,
9/1/2002,,,,,,,45.15,,,16.7,,
8/31/2002,,,,,,,45.15,,,16.76,,
8/30/2002,,,,,,,45.15,,,16.73,,
8/29/2002,,,,,,,45.15,,,16.6,,
8/28/2002,,,,,,,45.15,,,16.67,,
8/27/2002,,,,,,,45.15,,,16.87,,
8/26/2002,,,,,,,45.15,,,17.18,,
8/25/2002,,,,,,,45.15,,,17.46,,
