WY 2009,MLW Daily Avg, MLW Ft above Crest, MLW Ft above/below Flood,CLW Daily Avg, CLW Ft above Crest, CLW Ft above/below Flood,TIS Daily Avg, TIS Ft above Crest, TIS Ft above/below Flood,FRE Daily Avg, FRE Ft above Crest, FRE Ft above/below Flood
9/30/2009,,,,,,,45.14,,,13.93,,
9/29/2009,,,,,,,45.14,,,13.95,,
9/28/2009,,,,,,,45.14,,,13.94,,
9/27/2009,,,,,,,45.14,,,14.08,,
9/26/2009,,,,,,,45.14,,,14.24,,
9/25/2009,,,,,,,45.14,,,14.36,,
9/24/2009,,,,,,,45.14,,,14.49,,
9/23/2009,,,,,,,45.14,,,14.69,,
9/22/2009,,,,,,,45.14,,,14.85,,
9/21/2009,,,,,,,45.14,,,14.92,,
9/20/2009,,,,,,,45.14,,,15.12,,
9/19/2009,,,,,,,45.14,,,15.31,,
9/18/2009,,,,,,,45.14,,,15.49,,
9/17/2009,,,,,,,45.14,,,15.54,,
9/16/2009,,,,,,,45.14,,,15.9,,
9/15/2009,,,,,,,45.14,,,15.92,,
9/14/2009,,,,,,,45.14,,,15.92,,
9/13/2009,,,,,,,45.14,,,15.9,,
9/12/2009,,,,,,,45.14,,,15.8,,
9/11/2009,,,,,,,45.14,,,15.78,,
9/10/2009,,,,,,,45.14,,,15.85,,
9/9/2009,,,,,,,45.14,,,15.84,,
9/8/2009,,,,,,,45.14,,,15.8,,
9/7/2009,,,,,,,45.14,,,15.9,,
9/6/2009,,,,,,,45.14,,,16.08,,
9/5/2009,,,,,,,45.14,,,16.5,,
9/4/2009,,,,,,,45.14,,,16.77,,
9/3/2009,,,,,,,45.14,,,16.74,,
9/2/2009,,,,,,,45.14,,,16.35,,
9/1/2009,,,,,,,45.14,,,16.6,,
8/31/2009,,,,,,,45.14,,,16.66,,
8/30/2009,,,,,,,45.14,,,16.7,,
8/29/2009,,,,,,,45.14,,,16.67,,
8/28/2009,,,,,,,45.14,,,16.52,,
8/27/2009,,,,,,,45.14,,,16.43,,
8/26/2009,,,,,,,45.14,,,16.31,,
8/25/2009,,,,,,,45.14,,,16.29,,
8/24/2009,,,,,,,45.14,,,16.51,,
8/23/2009,,,,,,,45.14,,,16.54,,
8/22/2009,,,,,,,45.14,,,16.42,,
8/21/2009,,,,,,,45.14,,,16.32,,
8/20/2009,,,,,,,45.14,,,16.15,,
8/19/2009,,,,,,,45.14,,,16.06,,
8/18/2009,,,,,,,45.14,,,16.05,,
8/17/2009,,,,,,,45.14,,,16.14,,
8/16/2009,,,,,,,45.14,,,16.27,,
8/15/2009,,,,,,,45.14,,,16.28,,
8/14/2009,,,,,,,45.14,,,16.27,,
8/13/2009,,,,,,,45.14,,,16.24,,
8/12/2009,,,,,,,45.14,,,16.25,,
8/11/2009,,,,,,,45.14,,,16.32,,
8/10/2009,,,,,,,45.14,,,16.4,,
8/9/2009,,,,,,,45.14,,,16.32,,
8/8/2009,,,,,,,45.14,,,16.35,,
8/7/2009,,,,,,,45.14,,,16.37,,
8/6/2009,,,,,,,45.14,,,16.59,,
8/5/2009,,,,,,,45.14,,,16.79,,
8/4/2009,,,,,,,45.14,,,17.36,,
8/3/2009,,,,,,,45.14,,,17.76,,
8/2/2009,,,,,,,45.14,,,17.74,,
8/1/2009,,,,,,,45.14,,,17.68,,
7/31/2009,,,,,,,45.14,,,17.76,,
7/30/2009,,,,,,,45.14,,,17.62,,
7/29/2009,,,,,,,45.14,,,17.54,,
7/28/2009,,,,,,,45.14,,,17.4,,
7/27/2009,,,,,,,45.14,,,17.25,,
7/26/2009,,,,,,,45.14,,,17.2,,
7/25/2009,,,,,,,45.14,,,17.07,,
7/24/2009,,,,,,,45.14,,,16.36,,
7/23/2009,,,,,,,45.14,,,17.06,,
7/22/2009,,,,,,,45.14,,,17.36,,
7/21/2009,,,,,,,45.14,,,17.48,,
7/20/2009,,,,,,,45.14,,,17.6,,
7/19/2009,,,,,,,45.14,,,17.5,,
7/18/2009,,,,,,,45.14,,,17.37,,
7/17/2009,,,,,,,45.14,,,17.46,,
7/16/2009,,,,,,,45.14,,,17.74,,
7/15/2009,,,,,,,45.14,,,17.85,,
7/14/2009,,,,,,,45.14,,,17.87,,
7/13/2009,,,,,,,45.14,,,17.83,,
7/12/2009,,,,,,,45.14,,,17.69,,
7/11/2009,,,,,,,45.14,,,17.52,,
7/10/2009,,,,,,,45.14,,,17.47,,
7/9/2009,,,,,,,45.14,,,17.41,,
7/8/2009,,,,,,,45.14,,,17.45,,
7/7/2009,,,,,,,45.14,,,17.63,,
7/6/2009,,,,,,,45.14,,,17.74,,
7/5/2009,,,,,,,45.14,,,17.53,,
7/4/2009,,,,,,,45.14,,,17.26,,
7/3/2009,,,,,,,45.14,,,16.9,,
7/2/2009,,,,,,,45.14,,,16.61,,
7/1/2009,,,,,,,45.14,,,16.36,,
6/30/2009,,,,,,,45.14,,,15.97,,
6/29/2009,,,,,,,45.14,,,15.62,,
6/28/2009,,,,,,,45.14,,,15.04,,
6/27/2009,,,,,,,45.14,,,14.58,,
6/26/2009,,,,,,,45.14,,,14.73,,
6/25/2009,,,,,,,45.14,,,14.65,,
6/24/2009,,,,,,,45.14,,,14.5,,
6/23/2009,,,,,,,45.14,,,14.28,,
6/22/2009,,,,,,,45.14,,,14.23,,
6/21/2009,,,,,,,45.14,,,14.27,,
6/20/2009,,,,,,,45.14,,,14.14,,
6/19/2009,,,,,,,45.14,,,14.23,,
6/18/2009,,,,,,,45.14,,,14.44,,
6/17/2009,,,,,,,45.14,,,14.35,,
6/16/2009,,,,,,,45.14,,,14.79,,
6/15/2009,,,,,,,45.14,,,14.94,,
6/14/2009,,,,,,,45.14,,,15.11,,
6/13/2009,,,,,,,45.14,,,15.37,,
6/12/2009,,,,,,,45.14,,,15.53,,
6/11/2009,,,,,,,45.14,,,15.93,,
6/10/2009,,,,,,,45.14,,,16.47,,
6/9/2009,,,,,,,45.14,,,16.75,,
6/8/2009,,,,,,,45.14,,,16.63,,
6/7/2009,,,,,,,45.14,,,16.25,,
6/6/2009,,,,,,,45.14,,,15.72,,
6/5/2009,,,,,,,45.14,,,15.35,,
6/4/2009,,,,,,,45.14,,,14.86,,
6/3/2009,,,,,,,45.14,,,14.68,,
6/2/2009,,,,,,,45.14,,,14.6,,
6/1/2009,,,,,,,45.14,,,14.69,,
5/31/2009,,,,,,,45.14,,,14.67,,
5/30/2009,,,,,,,45.14,,,14.6,,
5/29/2009,,,,,,,45.14,,,14.64,,
5/28/2009,,,,,,,45.14,,,14.72,,
5/27/2009,,,,,,,45.14,,,15.22,,
5/26/2009,,,,,,,45.14,,,15.16,,
5/25/2009,,,,,,,45.14,,,14.92,,
5/24/2009,,,,,,,45.14,,,14.94,,
5/23/2009,,,,,,,45.14,,,14.86,,
5/22/2009,,,,,,,45.14,,,14.88,,
5/21/2009,,,,,,,45.14,,,15.14,,
5/20/2009,,,,,,,45.14,,,15.34,,
5/19/2009,,,,,,,45.14,,,15.42,,
5/18/2009,,,,,,,45.14,,,15.23,,
5/17/2009,,,,,,,45.14,,,14.99,,
5/16/2009,,,,,,,45.14,,,14.7,,
5/15/2009,,,,,,,45.14,,,14.78,,
5/14/2009,,,,,,,45.14,,,15.21,,
5/13/2009,,,,,,,45.14,,,15.88,,
