WY 2016,MLW Daily Avg, MLW Ft above Crest, MLW Ft above/below Flood,CLW Daily Avg, CLW Ft above Crest, CLW Ft above/below Flood,TIS Daily Avg, TIS Ft above Crest, TIS Ft above/below Flood,FRE Daily Avg, FRE Ft above Crest, FRE Ft above/below Flood
9/30/2016,,,,,,,,,,17.34,,
9/29/2016,,,,,,,,,,17.34,,
9/28/2016,,,,,,,,,,17.34,,
9/27/2016,,,,,,,,,,17.34,,
9/26/2016,,,,,,,,,,17.34,,
9/25/2016,,,,,,,,,,17.34,,
9/24/2016,,,,,,,,,,17.34,,
9/23/2016,,,,,,,,,,17.34,,
9/22/2016,,,,,,,,,,17.34,,
9/21/2016,,,,,,,,,,17.4,,
9/20/2016,,,,,,,,,,17.47,,
9/19/2016,,,,,,,,,,17.63,,
9/18/2016,,,,,,,,,,17.71,,
9/17/2016,,,,,,,,,,17.87,,
9/16/2016,,,,,,,,,,17.94,,
9/15/2016,,,,,,,,,,18.04,,
9/14/2016,,,,,,,,,,18.06,,
9/13/2016,,,,,,,,,,18.16,,
9/12/2016,,,,,,,,,,18.3,,
9/11/2016,,,,,,,,,,18.49,,
9/10/2016,,,,,,,,,,18.56,,
9/9/2016,,,,,,,,,,18.56,,
9/8/2016,,,,,,,,,,18.65,,
9/7/2016,,,,,,,,,,18.65,,
9/6/2016,,,,,,,,,,18.64,,
9/5/2016,,,,,,,,,,18.78,,
9/4/2016,,,,,,,,,,18.88,,
9/3/2016,,,,,,,,,,18.83,,
9/2/2016,,,,,,,,,,18.85,,
9/1/2016,,,,,,,,,,18.78,,
8/31/2016,,,,,,,,,,18.63,,
8/30/2016,,,,,,,,,,18.52,,
8/29/2016,,,,,,,,,,18.51,,
8/28/2016,,,,,,,,,,18.4,,
8/27/2016,,,,,,,,,,18.23,,
8/26/2016,,,,,,,,,,18.04,,
8/25/2016,,,,,,,,,,17.97,,
8/24/2016,,,,,,,,,,17.82,,
8/23/2016,,,,,,,,,,17.62,,
8/22/2016,,,,,,,,,,17.64,,
8/21/2016,,,,,,,,,,17.42,,
8/20/2016,,,,,,,,,,17.27,,
8/19/2016,,,,,,,,,,17.3,,
8/18/2016,,,,,,,,,,17.29,,
8/17/2016,,,,,,,,,,17.4,,
8/16/2016,,,,,,,,,,17.42,,
8/15/2016,,,,,,,,,,17.39,,
8/14/2016,,,,,,,,,,17.5,,
8/13/2016,,,,,,,,,,17.51,,
8/12/2016,,,,,,,,,,17.46,,
8/11/2016,,,,,,,,,,17.39,,
8/10/2016,,,,,,,,,,17.25,,
8/9/2016,,,,,,,,,,17.24,,
8/8/2016,,,,,,,,,,17.11,,
8/7/2016,,,,,,,,,,17.13,,
8/6/2016,,,,,,,,,,17.15,,
8/5/2016,,,,,,,,,,17.22,,
8/4/2016,,,,,,,,,,17.27,,
8/3/2016,,,,,,,,,,17.17,,
8/2/2016,,,,,,,,,,17.2,,
8/1/2016,,,,,,,,,,17.12,,
7/31/2016,,,,,,,,,,17.05,,
7/30/2016,,,,,,,,,,17,,
7/29/2016,,,,,,,,,,16.79,,
7/28/2016,,,,,,,,,,16.7,,
7/27/2016,,,,,,,,,,16.58,,
