WY 2013,MLW Daily Avg, MLW Ft above Crest, MLW Ft above/below Flood,CLW Daily Avg, CLW Ft above Crest, CLW Ft above/below Flood,TIS Daily Avg, TIS Ft above Crest, TIS Ft above/below Flood,FRE Daily Avg, FRE Ft above Crest, FRE Ft above/below Flood
9/30/2013,,,,,,,,,,15.13,,
9/29/2013,,,,,,,,,,15.37,,
9/28/2013,,,,,,,,,,15.4,,
9/27/2013,,,,,,,,,,15.41,,
9/26/2013,,,,,,,,,,15.49,,
9/25/2013,,,,,,,,,,15.59,,
9/24/2013,,,,,,,,,,15.73,,
9/23/2013,,,,,,,,,,15.68,,
9/22/2013,,,,,,,,,,15.57,,
9/21/2013,,,,,,,,,,15.57,,
9/20/2013,,,,,,,,,,15.84,,
9/19/2013,,,,,,,,,,16.1,,
9/18/2013,,,,,,,,,,16.23,,
9/17/2013,,,,,,,,,,16.36,,
9/16/2013,,,,,,,,,,16.42,,
9/15/2013,,,,,,,,,,16.39,,
9/14/2013,,,,,,,,,,16.42,,
9/13/2013,,,,,,,,,,16.62,,
9/12/2013,,,,,,,,,,16.93,,
9/11/2013,,,,,,,,,,17.18,,
9/10/2013,,,,,,,,,,17.25,,
9/9/2013,,,,,,,,,,17.38,,
9/8/2013,,,,,,,,,,17.5,,
9/7/2013,,,,,,,,,,17.52,,
9/6/2013,,,,,,,,,,17.53,,
9/5/2013,,,,,,,,,,17.45,,
9/4/2013,,,,,,,,,,17.41,,
9/3/2013,,,,,,,,,,17.47,,
9/2/2013,,,,,,,,,,17.66,,
9/1/2013,,,,,,,,,,17.83,,
8/31/2013,,,,,,,,,,18.02,,
8/30/2013,,,,,,,,,,18.13,,
8/29/2013,,,,,,,,,,18.19,,
8/28/2013,,,,,,,,,,18.22,,
8/27/2013,,,,,,,,,,18.31,,
8/26/2013,,,,,,,,,,18.38,,
8/25/2013,,,,,,,,,,18.47,,
8/24/2013,,,,,,,,,,18.45,,
8/23/2013,,,,,,,,,,18.36,,
8/22/2013,,,,,,,,,,18.15,,
8/21/2013,,,,,,,,,,17.96,,
8/20/2013,,,,,,,,,,17.9,,
8/19/2013,,,,,,,,,,18.17,,
8/18/2013,,,,,,,,,,18.31,,
8/17/2013,,,,,,,,,,18.16,,
8/16/2013,,,,,,,,,,17.98,,
8/15/2013,,,,,,,,,,17.83,,
8/14/2013,,,,,,,,,,17.75,,
8/13/2013,,,,,,,,,,17.7,,
8/12/2013,,,,,,,,,,17.57,,
8/11/2013,,,,,,,,,,17.51,,
8/10/2013,,,,,,,,,,17.5,,
8/9/2013,,,,,,,,,,17.52,,
8/8/2013,,,,,,,,,,17.51,,
8/7/2013,,,,,,,,,,17.51,,
8/6/2013,,,,,,,,,,17.52,,
8/5/2013,,,,,,,,,,17.51,,
8/4/2013,,,,,,,,,,17.54,,
8/3/2013,,,,,,,,,,17.63,,
8/2/2013,,,,,,,,,,17.6,,
8/1/2013,,,,,,,,,,17.52,,
7/31/2013,,,,,,,,,,17.67,,
7/30/2013,,,,,,,,,,17.98,,
7/29/2013,,,,,,,,,,17.98,,
7/28/2013,,,,,,,,,,17.92,,
7/27/2013,,,,,,,,,,17.98,,
7/26/2013,,,,,,,,,,17.93,,
7/25/2013,,,,,,,,,,17.87,,
7/24/2013,,,,,,,,,,17.87,,
7/23/2013,,,,,,,,,,17.9,,
7/22/2013,,,,,,,,,,17.8,,
7/21/2013,,,,,,,,,,17.74,,
7/20/2013,,,,,,,,,,17.67,,
7/19/2013,,,,,,,,,,17.62,,
7/18/2013,,,,,,,,,,17.55,,
7/17/2013,,,,,,,,,,17.49,,
7/16/2013,,,,,,,,,,17.55,,
7/15/2013,,,,,,,,,,17.62,,
7/14/2013,,,,,,,,,,17.49,,
7/13/2013,,,,,,,,,,17.46,,
7/12/2013,,,,,,,,,,17.5,,
7/11/2013,,,,,,,,,,17.61,,
7/10/2013,,,,,,,,,,17.62,,
7/9/2013,,,,,,,,,,17.56,,
7/8/2013,,,,,,,,,,17.56,,
7/7/2013,,,,,,,,,,17.56,,
7/6/2013,,,,,,,,,,17.38,,
7/5/2013,,,,,,,,,,17.35,,
7/4/2013,,,,,,,,,,17.59,,
7/3/2013,,,,,,,,,,17.87,,
